epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.70455,1.64769,0.33333,1,1.63841,2.222e-05,2.222e-05,2.222e-05
2,5.65188,1.63423,0.33333,1,1.62805,5.28003e-05,5.28003e-05,5.28003e-05
3,8.17357,1.68233,0.53333,1,1.61778,8.00809e-05,8.00809e-05,8.00809e-05
4,10.6252,1.57176,0.53333,1,1.5425,0.000104062,0.000104062,0.000104062
5,12.9942,1.29351,0.6,1,1.47469,0.000124743,0.000124743,0.000124743
6,15.396,1.42523,0.66667,1,1.3087,0.000142125,0.000142125,0.000142125
7,17.7411,1.26725,0.66667,1,1.16826,0.000156207,0.000156207,0.000156207
8,20.0667,1.19925,0.66667,1,1.07529,0.000166989,0.000166989,0.000166989
9,22.3959,1.21876,0.66667,1,0.88214,0.000174471,0.000174471,0.000174471
10,24.7141,0.92372,0.6,1,0.8237,0.000178654,0.000178654,0.000178654
11,27.0563,1.12275,0.73333,1,0.70794,0.000179538,0.000179538,0.000179538
12,29.3912,0.98606,0.73333,1,0.6389,0.000177121,0.000177121,0.000177121
13,31.7091,0.97197,0.73333,1,0.66019,0.000171405,0.000171405,0.000171405
14,34.0218,0.91968,0.73333,1,0.64126,0.000162389,0.000162389,0.000162389
15,36.348,0.8453,0.8,1,0.64166,0.000150074,0.000150074,0.000150074
16,38.6663,0.74059,0.8,1,0.62626,0.000134459,0.000134459,0.000134459
17,41.017,0.70576,0.8,1,0.61602,0.000115544,0.000115544,0.000115544
18,43.3922,0.65301,0.8,1,0.60795,9.33296e-05,9.33296e-05,9.33296e-05
19,45.7365,0.69522,0.8,1,0.59715,6.78154e-05,6.78154e-05,6.78154e-05
20,48.0747,0.69534,0.8,1,0.59024,3.90017e-05,3.90017e-05,3.90017e-05
