epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.1995,1.24686,0.75556,1,0.65152,0.000364636,0.000364636,0.000364636
2,28.4441,0.70058,0.83175,1,0.39502,0.000698588,0.000698588,0.000698588
3,42.5769,0.42719,0.86349,1,0.34652,0.000995878,0.000995878,0.000995878
4,56.8052,0.50067,0.86667,1,0.34816,0.000946016,0.000946016,0.000946016
5,70.9939,0.3848,0.88889,1,0.28708,0.000891022,0.000891022,0.000891022
6,84.8306,0.35153,0.93651,1,0.20724,0.000836027,0.000836027,0.000836027
7,98.5501,0.34045,0.91746,1,0.20638,0.000781033,0.000781033,0.000781033
8,112.145,0.29172,0.95556,1,0.1275,0.000726038,0.000726038,0.000726038
9,125.788,0.27483,0.93333,1,0.2041,0.000671044,0.000671044,0.000671044
10,139.445,0.24621,0.94921,1,0.16069,0.000616049,0.000616049,0.000616049
11,153.137,0.2633,0.97143,1,0.10885,0.000561055,0.000561055,0.000561055
12,166.788,0.2274,0.96508,1,0.11213,0.00050606,0.00050606,0.00050606
13,180.396,0.21488,0.94603,1,0.13416,0.000451066,0.000451066,0.000451066
14,193.898,0.1942,0.95238,1,0.14168,0.000396071,0.000396071,0.000396071
15,207.544,0.22275,0.9873,1,0.07178,0.000341077,0.000341077,0.000341077
16,221.294,0.14488,0.95238,1,0.12819,0.000286083,0.000286083,0.000286083
17,234.952,0.16719,0.97778,1,0.08331,0.000231088,0.000231088,0.000231088
18,248.684,0.20002,0.9746,1,0.1047,0.000176094,0.000176094,0.000176094
19,262.451,0.16432,0.98095,1,0.07191,0.000121099,0.000121099,0.000121099
20,276.235,0.13155,0.9873,1,0.064,6.61045e-05,6.61045e-05,6.61045e-05
