epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.69835,1.64769,0.33333,1,1.63841,2.222e-05,2.222e-05,2.222e-05
2,5.62192,1.63423,0.33333,1,1.62805,5.28003e-05,5.28003e-05,5.28003e-05
3,8.22711,1.68233,0.53333,1,1.61778,8.00809e-05,8.00809e-05,8.00809e-05
4,10.6793,1.57176,0.53333,1,1.5425,0.000104062,0.000104062,0.000104062
5,13.1238,1.29351,0.6,1,1.47469,0.000124743,0.000124743,0.000124743
6,15.9425,1.42523,0.66667,1,1.3087,0.000142125,0.000142125,0.000142125
7,19.0038,1.26725,0.66667,1,1.16826,0.000156207,0.000156207,0.000156207
8,21.5415,1.19925,0.66667,1,1.07529,0.000166989,0.000166989,0.000166989
9,23.9389,1.21876,0.66667,1,0.88214,0.000174471,0.000174471,0.000174471
10,26.3799,0.92372,0.6,1,0.8237,0.000178654,0.000178654,0.000178654
11,28.8015,1.12275,0.73333,1,0.70794,0.000179538,0.000179538,0.000179538
12,31.2023,0.98606,0.73333,1,0.6389,0.000177121,0.000177121,0.000177121
13,33.6627,0.97197,0.73333,1,0.66019,0.000171405,0.000171405,0.000171405
14,36.1409,0.91968,0.73333,1,0.64126,0.000162389,0.000162389,0.000162389
15,38.5868,0.8453,0.8,1,0.64166,0.000150074,0.000150074,0.000150074
16,40.9991,0.74059,0.8,1,0.62626,0.000134459,0.000134459,0.000134459
17,43.4915,0.70576,0.8,1,0.61602,0.000115544,0.000115544,0.000115544
18,45.9,0.65301,0.8,1,0.60795,9.33296e-05,9.33296e-05,9.33296e-05
19,48.3105,0.69522,0.8,1,0.59715,6.78154e-05,6.78154e-05,6.78154e-05
20,50.7917,0.69534,0.8,1,0.59024,3.90017e-05,3.90017e-05,3.90017e-05
