epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.24003,1.81961,0.33333,1,1.63588,2.222e-05,2.222e-05,2.222e-05
2,4.60131,1.59781,0.26667,1,1.6403,5.28003e-05,5.28003e-05,5.28003e-05
3,6.74551,1.38521,0.46667,1,1.60202,8.00809e-05,8.00809e-05,8.00809e-05
4,8.73192,1.39895,0.46667,1,1.59551,0.000104062,0.000104062,0.000104062
5,10.6929,1.34307,0.53333,1,1.53942,0.000124743,0.000124743,0.000124743
6,12.7182,1.33102,0.53333,1,1.42444,0.000142125,0.000142125,0.000142125
7,14.706,0.99111,0.66667,1,1.20248,0.000156207,0.000156207,0.000156207
8,16.7268,1.18512,0.53333,1,1.11726,0.000166989,0.000166989,0.000166989
9,18.7206,1.04834,0.66667,1,0.92256,0.000174471,0.000174471,0.000174471
10,20.7457,1.23049,0.6,1,0.83858,0.000178654,0.000178654,0.000178654
11,22.8032,0.80952,0.66667,1,0.78488,0.000179538,0.000179538,0.000179538
12,24.8315,0.97986,0.73333,1,0.74104,0.000177121,0.000177121,0.000177121
13,26.7928,0.86741,0.73333,1,0.66043,0.000171405,0.000171405,0.000171405
14,28.7968,0.96207,0.86667,1,0.5976,0.000162389,0.000162389,0.000162389
15,30.7958,0.80443,0.8,1,0.62683,0.000150074,0.000150074,0.000150074
16,32.8298,0.91164,0.8,1,0.57074,0.000134459,0.000134459,0.000134459
17,34.8396,0.74341,0.8,1,0.5769,0.000115544,0.000115544,0.000115544
18,36.8456,0.62138,0.8,1,0.5232,9.33296e-05,9.33296e-05,9.33296e-05
19,38.8394,0.81663,0.8,1,0.53109,6.78154e-05,6.78154e-05,6.78154e-05
20,40.9137,0.58426,0.8,1,0.58366,3.90017e-05,3.90017e-05,3.90017e-05
