epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.955,1.31874,0.59048,1,1.05808,0.000362618,0.000362618,0.000362618
2,25.7313,0.79823,0.70794,1,0.74586,0.00069667,0.00069667,0.00069667
3,37.7668,0.64365,0.77143,1,0.70424,0.00099406,0.00099406,0.00099406
4,49.349,0.64262,0.78413,1,0.59375,0.000946016,0.000946016,0.000946016
5,60.6269,0.47471,0.90794,1,0.23745,0.000891022,0.000891022,0.000891022
6,72.0355,0.5628,0.8381,1,0.42827,0.000836027,0.000836027,0.000836027
7,83.3869,0.41395,0.87937,1,0.29651,0.000781033,0.000781033,0.000781033
8,95.1701,0.37003,0.86032,1,0.37396,0.000726038,0.000726038,0.000726038
9,106.774,0.34855,0.88571,1,0.31987,0.000671044,0.000671044,0.000671044
10,118.261,0.37121,0.92063,1,0.24376,0.000616049,0.000616049,0.000616049
11,129.81,0.34394,0.90159,1,0.39785,0.000561055,0.000561055,0.000561055
12,141.511,0.31107,0.91111,1,0.27926,0.00050606,0.00050606,0.00050606
13,153.009,0.24707,0.93651,1,0.22397,0.000451066,0.000451066,0.000451066
14,164.246,0.27342,0.9619,1,0.16444,0.000396071,0.000396071,0.000396071
15,176.388,0.25501,0.94921,1,0.14576,0.000341077,0.000341077,0.000341077
16,188.595,0.24234,0.96825,1,0.1399,0.000286083,0.000286083,0.000286083
17,200.61,0.20692,0.96508,1,0.14234,0.000231088,0.000231088,0.000231088
18,212.122,0.20775,0.95873,1,0.1478,0.000176094,0.000176094,0.000176094
19,223.414,0.2011,0.9619,1,0.13508,0.000121099,0.000121099,0.000121099
20,235.164,0.27261,0.96508,1,0.13453,6.61045e-05,6.61045e-05,6.61045e-05
