epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,248.558,0.5793,0.94149,1,0.18207,0.00037011,0.00037011,0.00037011
2,495.396,0.25501,0.98404,1,0.0568,0.000703791,0.000703791,0.000703791
3,746.728,0.20165,0.97226,1,0.07696,0.00100081,0.00100081,0.00100081
4,1002.81,0.17584,0.99075,1,0.03189,0.000946016,0.000946016,0.000946016
5,1257.41,0.13626,0.99709,1,0.01353,0.000891022,0.000891022,0.000891022
6,1510.09,0.12092,0.99721,1,0.01152,0.000836027,0.000836027,0.000836027
7,1762.82,0.10985,0.99785,1,0.0114,0.000781033,0.000781033,0.000781033
8,2011.6,0.10171,0.99696,1,0.0124,0.000726038,0.000726038,0.000726038
9,2258.76,0.08953,0.99709,1,0.01145,0.000671044,0.000671044,0.000671044
10,2506.4,0.08766,0.99721,1,0.01035,0.000616049,0.000616049,0.000616049
11,2752.57,0.07911,0.99671,1,0.01095,0.000561055,0.000561055,0.000561055
12,3001.91,0.07614,0.99911,1,0.00371,0.00050606,0.00050606,0.00050606
13,3248.62,0.06911,0.9981,1,0.00655,0.000451066,0.000451066,0.000451066
14,3494.66,0.06313,0.99861,1,0.00545,0.000396071,0.000396071,0.000396071
15,3741.33,0.06532,0.99899,1,0.00438,0.000341077,0.000341077,0.000341077
16,3988.26,0.05975,0.99899,1,0.00362,0.000286083,0.000286083,0.000286083
17,4233.18,0.05359,0.9981,1,0.0055,0.000231088,0.000231088,0.000231088
18,4473.63,0.04742,0.99911,1,0.00263,0.000176094,0.000176094,0.000176094
19,4720.77,0.0419,0.99975,1,0.00203,0.000121099,0.000121099,0.000121099
20,4968.26,0.04313,0.99962,1,0.00267,6.61045e-05,6.61045e-05,6.61045e-05
